Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,SecurityDescriptor,Author
3,,{65EE7EB0-DA3C-419E-AFD3-231DE2CB0D08},,\Microsoft\Windows\Display\Brightness\BrightnessReset,2018-03-27 12:11:54.6343687,2018-03-27 09:19:59.2116774,2018-03-27 09:19:59.2116774,0,0,,"$(@%SystemRoot%\system32\BrightnessReset.dll,-602)",,"$(@%SystemRoot%\system32\BrightnessReset.dll,-600)"
3,,{66156864-BE3D-4705-B360-7A9055061F16},,\Microsoft\Windows\WindowsColorSystem\Calibration Loader,2018-03-27 12:11:54.6499920,2018-03-27 09:19:59.3366810,2018-03-27 09:19:59.4460606,0,-2147024809,"$(@%SystemRoot%\system32\mscms.dll,-200)","$(@%SystemRoot%\system32\mscms.dll,-202)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FWFR;;;BU),"$(@%SystemRoot%\system32\mscms.dll,-201)"
3,,{66DB8920-9E75-46F5-BAF4-3AF8B459B9A2},,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,2018-03-14 12:11:56.4289371,,,0,0,"$(@%SystemRoot%\System32\DFDTS.dll,-100)","$(@%SystemRoot%\System32\DFDTS.dll,-119)",D:(A;;GA;;;BA)(A;;GA;;;SY)(A;;FRFX;;;LS),"$(@%SystemRoot%\System32\DFDTS.dll,-101)"
3,,{67889EEC-D7B4-43D3-B82C-D0DBA3522591},,\Microsoft\Windows\WCM\WiFiTask,2018-03-27 12:11:56.4445615,2018-03-27 09:21:06.0099496,2018-03-27 09:21:06.8988826,0,0,,"$(@%SystemRoot%\system32\wifitask.exe,-2)",D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;BU)(A;;FA;;;S-1-5-80-4155767994-3874329934-3800885181-2130851812-726865888),"$(@%SystemRoot%\system32\wifitask.exe,-1)"
3,,{68240FAE-7F80-4AF3-8112-38B6A6BF4740},,\Microsoft\Windows\File Classification Infrastructure\Property Definition Sync,2018-03-27 12:11:56.4601875,,,0,0,"$(@%systemroot%\system32\srm.dll,-18000)","$(@%systemroot%\system32\srm.dll,-18002)",D:(D;;SD;;;AU)(A;;FRFWFX;;;AU),"$(@%systemroot%\system32\srm.dll,-18001)"
3,,{6831246E-D3E2-469C-9079-23FA53AC7712},,\Microsoft\Windows\Printing\EduPrintProv,2018-03-27 12:11:56.4758115,,,0,0,,,D:(A;;FA;;;BA)(A;;FA;;;SY)(A;;FRFX;;;WD),
3,,{6AF2B5AF-12F7-4A18-8717-7EE7080D2E29},,\Microsoft\Windows\ApplicationData\CleanupTemporaryState,2018-03-27 12:11:56.4914386,,,0,0,"$(@%systemroot%\system32\Windows.Storage.ApplicationData.dll,-5001)","$(@%systemroot%\system32\Windows.Storage.ApplicationData.dll,-5003)",D:(A;;FRFX;;;BA)(A;;FA;;;SY),"$(@%systemroot%\system32\Windows.Storage.ApplicationData.dll,-5002)"
3,,{6AF76128-8D3D-4190-88A8-78A1FDB651A8},,\Microsoft\Windows\WOF\WIM-Hash-Validation,2018-03-27 12:11:56.5070630,,,0,0,"$(@%SystemRoot%\system32\WofTasks.dll,-601)","$(@%SystemRoot%\system32\WofTasks.dll,-602)",O:BAG:BAD:P(A;;FA;;;BA)(A;;FA;;;SY),"$(@%SystemRoot%\system32\WofTasks.dll,-600)"
3,,{6B7F7D29-67D6-4161-ADE2-1F5F57D64013},,\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,2018-03-27 12:11:56.5226947,,,0,0,,"$(@%ProgramFiles%\Windows Defender\MpAsDesc.dll,-41126)",,
3,,{6C347398-3BF5-4CFF-A5E4-2151CC42B359},,\Microsoft\Windows\Maps\MapsToastTask,2018-03-27 12:11:56.5383198,,,0,0,,"$(@%SystemRoot%\system32\mapstoasttask.dll,-602)",D:(A;;0x111FFFFF;;;SY)(A;;0x111FFFFF;;;BA)(A;;0x111FFFFF;;;S-1-5-80-3028837079-3186095147-955107200-3701964851-1150726376)(A;;FRFX;;;AU),"$(@%SystemRoot%\system32\mapstoasttask.dll,-600)"
